93.159.230.88 - - [16/Sep/2022:02:12:17 -0700] "GET / HTTP/1.1" 200 4079 "http://theashish.net" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "theashish.net"
114.119.152.56 - - [16/Sep/2022:02:47:41 -0700] "GET /videoediting.html HTTP/1.1" 200 2248 "https://theashish.net/uscinternship" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "theashish.net"
114.119.152.77 - - [16/Sep/2022:02:59:53 -0700] "GET /guitarhero.html HTTP/1.1" 200 2730 "https://www.theashish.net/seniorresearch.html" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "www.theashish.net"
77.74.177.119 - - [16/Sep/2022:03:15:13 -0700] "GET / HTTP/1.1" 200 4079 "http://theashish.net" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "theashish.net"
114.119.152.59 - - [16/Sep/2022:03:25:18 -0700] "GET /ProjectPageMini.html HTTP/1.1" 200 2152 "https://www.theashish.net/microelectronicslab.html" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "www.theashish.net"
93.159.230.88 - - [16/Sep/2022:04:12:13 -0700] "GET / HTTP/1.1" 200 4079 "http://theashish.net" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "theashish.net"
185.181.60.12 - - [16/Sep/2022:04:38:41 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.54" "theashish.net"
66.249.69.203 - - [16/Sep/2022:05:28:47 -0700] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.theashish.net"
114.119.148.0 - - [16/Sep/2022:05:36:23 -0700] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "theashish.net"
95.163.255.68 - - [16/Sep/2022:06:01:45 -0700] "GET /robots.txt HTTP/1.1" 404 73 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +https://help.mail.ru/webmaster/indexing/robots)" "theashish.net"
95.163.255.64 - - [16/Sep/2022:06:01:47 -0700] "GET /Resume.pdf HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +https://help.mail.ru/webmaster/indexing/robots)" "theashish.net"
51.222.253.7 - - [16/Sep/2022:06:24:25 -0700] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.18 - - [16/Sep/2022:06:24:27 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
35.245.188.175 - - [16/Sep/2022:06:58:55 -0700] "GET / HTTP/1.1" 200 19411 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "theashish.net"
35.245.188.175 - - [16/Sep/2022:06:58:55 -0700] "GET / HTTP/1.1" 200 19411 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "theashish.net"
