20.171.66.190 - - [25/Sep/2022:20:52:02 -0700] "GET /2021/wp-includes/wlwmanifest.xml HTTP/1.1" 404 73 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36" "theashish.net"
20.171.66.190 - - [25/Sep/2022:20:52:02 -0700] "GET /shop/wp-includes/wlwmanifest.xml HTTP/1.1" 404 73 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36" "theashish.net"
20.171.66.190 - - [25/Sep/2022:20:52:03 -0700] "GET /test/wp-includes/wlwmanifest.xml HTTP/1.1" 404 73 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36" "theashish.net"
20.171.66.190 - - [25/Sep/2022:20:52:03 -0700] "GET /site/wp-includes/wlwmanifest.xml HTTP/1.1" 404 73 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36" "theashish.net"
20.171.66.190 - - [25/Sep/2022:20:52:03 -0700] "GET /cms/wp-includes/wlwmanifest.xml HTTP/1.1" 404 73 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36" "theashish.net"
66.249.64.38 - - [25/Sep/2022:22:35:27 -0700] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "theashish.net"
66.249.64.38 - - [25/Sep/2022:22:35:33 -0700] "GET /ads.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "theashish.net"
114.119.152.69 - - [25/Sep/2022:22:51:28 -0700] "GET /Daedalus%20Paper%20Report.pdf HTTP/1.1" 200 223219 "https://theashish.net/uscinternship" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "theashish.net"
51.222.253.9 - - [26/Sep/2022:00:13:16 -0700] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.11 - - [26/Sep/2022:00:13:17 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
54.190.174.201 - - [26/Sep/2022:00:20:10 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
54.184.16.255 - - [26/Sep/2022:00:21:21 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
35.92.15.195 - - [26/Sep/2022:00:21:32 -0700] "GET / HTTP/1.1" 200 4079 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
34.209.140.117 - - [26/Sep/2022:00:21:59 -0700] "GET /favicon.ico HTTP/1.1" 200 4286 "http://theashish.net/favicon.ico" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
54.188.205.184 - - [26/Sep/2022:00:24:18 -0700] "GET /favicon.ico HTTP/1.1" 200 4286 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
35.91.94.35 - - [26/Sep/2022:00:31:41 -0700] "GET /favicon.ico HTTP/1.1" 200 4286 "http://theashish.net/favicon.ico" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36" "theashish.net"
15.235.12.96 - - [26/Sep/2022:00:41:13 -0700] "GET / HTTP/1.1" 200 4079 "http://theashish.net/" "Mozilla/5.0 zgrab/0.x" "theashish.net"
