78.47.93.204 - - [26/Oct/2022:08:44:58 -0700] "GET /wp-content/plugins/wp-time-capsule/readme.txt HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:45:14 -0700] "GET /wp-content/plugins/themegrill-demo-importer/readme.txt HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:45:31 -0700] "GET /wp-content/plugins/advanced-import/readme.txt HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Linux; Android 11; ONEPLUS A6013) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Mobile Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:45:39 -0700] "GET /wp-content/plugins/woocommerce-jetpack/readme.txt HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (iPhone14,3; U; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19A346 Safari/602.1" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:45:53 -0700] "GET /wp-content/plugins/emails-verification-for-woocommerce/readme.txt HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Linux; Android 11; Lenovo YT-J706X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:46:07 -0700] "GET /wp-content/plugins/woocommerce-upload-files/js/wcuf-admin-menu.js HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (iPhone14,3; U; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19A346 Safari/602.1" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:46:20 -0700] "GET /wp-content/plugins/wp-user-extra-fields/js/wpuef-configurator.js HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Linux; Android 12; SM-S906N Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/105.0.0.0 Mobile Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:46:34 -0700] "GET /wp-content/plugins/wp-automatic/changelog HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:46:49 -0700] "GET /wp-content/plugins/wp-automatic/css/wp-automatic.css HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Linux; Android 11; Lenovo YT-J706X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:47:02 -0700] "GET /wp-content/plugins/capability-manager-enhanced/readme.txt HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:47:17 -0700] "GET /wp-content/plugins/capabilities-pro/readme.txt HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Linux; Android 11; Lenovo YT-J706X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:47:28 -0700] "GET /wp-content/plugins/wp-pinterest-automatic/changelog HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (iPhone14,3; U; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19A346 Safari/602.1" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:47:40 -0700] "GET /wp-content/plugins/ulisting/readme.txt HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:47:55 -0700] "GET /wp-content/plugins/image-hover-effects-ultimate/readme.txt HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:48:09 -0700] "GET /wp-content/plugins/ait-csv-import-export/changelog.txt HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:48:24 -0700] "GET /wp-content/plugins/angwp/__%20UPDATES.txt HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Linux; Android 12; SM-S906N Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/105.0.0.0 Mobile Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:48:35 -0700] "GET /wp-content/plugins/e-signature/page-template/default/style.css HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Linux; Android 11; Lenovo YT-J706X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:48:47 -0700] "GET /wp-content/plugins/superstorefinder-wp/css/ssf-wp-admin.css HTTP/1.1" 500 2265 "https://www.google.com" "Mozilla/5.0 (iPhone14,3; U; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19A346 Safari/602.1" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:49:00 -0700] "GET /wp-content/plugins/super-interactive-maps/css/sim-wp-admin.css HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (iPhone14,3; U; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19A346 Safari/602.1" "www.theashish.net"
