51.222.253.2 - - [28/Jan/2023:17:27:49 -0800] "GET /IMGS/senior/update10/both%20mics.jpg HTTP/1.1" 200 347058 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
51.222.253.20 - - [28/Jan/2023:17:27:59 -0800] "GET /IMGS/ProjectPageEleven/one.jpg HTTP/1.1" 200 209171 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "theashish.net"
93.159.230.87 - - [28/Jan/2023:17:31:51 -0800] "GET / HTTP/1.1" 200 4090 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "theashish.net"
176.113.43.138 - - [28/Jan/2023:18:04:10 -0800] "GET / HTTP/1.1" 200 4090 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36" "theashish.net"
176.113.43.138 - - [28/Jan/2023:18:04:11 -0800] "GET /favicon.ico HTTP/1.1" 200 4286 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36" "theashish.net"
178.62.250.18 - - [28/Jan/2023:18:43:45 -0800] "GET / HTTP/1.1" 200 4090 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36" "theashish.net"
178.62.250.18 - - [28/Jan/2023:18:43:46 -0800] "GET /wp-reset.php HTTP/1.1" 404 88 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36" "theashish.net"
178.62.250.18 - - [28/Jan/2023:18:43:46 -0800] "GET /wp-setups.php HTTP/1.1" 404 88 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36" "theashish.net"
178.62.250.18 - - [28/Jan/2023:18:43:46 -0800] "GET /about.php?673435=1 HTTP/1.1" 404 88 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36" "theashish.net"
178.62.250.18 - - [28/Jan/2023:18:43:47 -0800] "POST /about.php HTTP/1.1" 404 88 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36" "theashish.net"
178.62.250.18 - - [28/Jan/2023:18:43:47 -0800] "GET /admin.php?673435=1 HTTP/1.1" 404 88 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36" "theashish.net"
178.62.250.18 - - [28/Jan/2023:18:43:47 -0800] "POST /admin.php HTTP/1.1" 404 88 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36" "theashish.net"
178.62.250.18 - - [28/Jan/2023:18:43:47 -0800] "GET /wp-story.php?673435=1 HTTP/1.1" 404 88 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36" "theashish.net"
178.62.250.18 - - [28/Jan/2023:18:43:48 -0800] "POST /wp-story.php HTTP/1.1" 404 88 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36" "theashish.net"
178.62.250.18 - - [28/Jan/2023:18:43:48 -0800] "GET /123.php?1=dmFyX2R1bXAoIjg1NjQ1dzQiKTs= HTTP/1.1" 404 88 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36" "theashish.net"
178.62.250.18 - - [28/Jan/2023:18:43:48 -0800] "GET /nf_tracking.php HTTP/1.1" 404 88 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36" "theashish.net"
207.46.13.16 - - [28/Jan/2023:21:02:31 -0800] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "theashish.net"
157.55.39.187 - - [28/Jan/2023:21:02:38 -0800] "GET / HTTP/1.1" 200 4090 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "theashish.net"
40.77.167.18 - - [28/Jan/2023:21:02:49 -0800] "GET /css/bootstrap.css HTTP/1.1" 200 21377 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "theashish.net"
40.77.167.18 - - [28/Jan/2023:21:02:50 -0800] "GET /css/shop-homepage.css HTTP/1.1" 200 467 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "theashish.net"
40.77.167.18 - - [28/Jan/2023:21:02:50 -0800] "GET /js/jquery.js HTTP/1.1" 200 33224 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "theashish.net"
207.46.13.111 - - [28/Jan/2023:21:02:55 -0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 19744 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "theashish.net"
40.77.167.16 - - [28/Jan/2023:21:02:59 -0800] "GET /css/modern-business.css HTTP/1.1" 404 88 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "theashish.net"
40.77.190.193 - - [28/Jan/2023:21:18:47 -0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "theashish.net"
40.77.188.236 - - [28/Jan/2023:21:18:48 -0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "theashish.net"
66.249.64.42 - - [28/Jan/2023:21:56:27 -0800] "GET /ads.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "theashish.net"
