51.222.253.15 - - [14/Feb/2023:02:19:23 -0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 9833 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
100.26.127.17 - - [14/Feb/2023:02:40:16 -0800] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; Neevabot/1.0; +https://neeva.com/neevabot)" "www.theashish.net"
100.26.127.17 - - [14/Feb/2023:02:40:22 -0800] "GET /customguitar.html HTTP/1.1" 200 3138 "-" "Mozilla/5.0 (compatible; Neevabot/1.0; +https://neeva.com/neevabot)" "www.theashish.net"
100.26.127.17 - - [14/Feb/2023:02:45:12 -0800] "GET /facetrack.html HTTP/1.1" 200 2585 "-" "Mozilla/5.0 (compatible; Neevabot/1.0; +https://neeva.com/neevabot)" "www.theashish.net"
100.26.127.17 - - [14/Feb/2023:02:50:09 -0800] "GET /IMGS/SummerCamp/two.JPG HTTP/1.1" 200 2487278 "-" "Mozilla/5.0 (compatible; Neevabot/1.0; +https://neeva.com/neevabot)" "www.theashish.net"
100.26.127.17 - - [14/Feb/2023:02:52:14 -0800] "GET /IMGS/SummerCamp/two.JPG HTTP/1.1" 200 2487278 "-" "Mozilla/5.0 (compatible; Neevabot/1.0; +https://neeva.com/neevabot)" "www.theashish.net"
51.222.253.13 - - [14/Feb/2023:03:00:51 -0800] "GET /marblemaze.html HTTP/1.1" 200 2473 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.17 - - [14/Feb/2023:03:00:52 -0800] "GET /IMGS/ProjectPageTen/six.jpg HTTP/1.1" 200 153040 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.7 - - [14/Feb/2023:03:00:53 -0800] "GET /IMGS/ProjectPageTen/two.jpg HTTP/1.1" 200 146018 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.11 - - [14/Feb/2023:03:00:54 -0800] "GET /ProjectPageOne_files/bootstrap.min.css HTTP/1.1" 200 19744 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.15 - - [14/Feb/2023:03:00:54 -0800] "GET /IMGS/ProjectPageTen/one.jpg HTTP/1.1" 200 132561 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.16 - - [14/Feb/2023:03:00:55 -0800] "GET /IMGS/ProjectPageTen/three.jpg HTTP/1.1" 200 141725 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.9 - - [14/Feb/2023:03:00:55 -0800] "GET /IMGS/ProjectPageTen/four.jpg HTTP/1.1" 200 168959 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.15 - - [14/Feb/2023:03:00:56 -0800] "GET /IMGS/ProjectPageTen/five.jpg HTTP/1.1" 200 97618 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.7 - - [14/Feb/2023:03:00:57 -0800] "GET /ProjectPageOne_files/jquery.js.download HTTP/1.1" 200 33224 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.5 - - [14/Feb/2023:03:00:57 -0800] "GET /ProjectPageOne_files/bootstrap.min.js.download HTTP/1.1" 200 9833 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
77.88.5.222 - - [14/Feb/2023:03:10:51 -0800] "GET /robots.txt HTTP/1.1" 404 73 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.theashish.net"
77.88.5.133 - - [14/Feb/2023:03:10:55 -0800] "GET /IMGS/ProjectPageEight/two.jpg HTTP/1.1" 200 60386 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "www.theashish.net"
77.88.5.168 - - [14/Feb/2023:03:10:59 -0800] "GET /IMGS/ProjectPageEight/one.jpg HTTP/1.1" 200 82061 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "www.theashish.net"
